Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
74,6.7,3.3,5.7,2.5,Iris-virginica
75,6.3,2.5,5,1.9,Iris-virginica
76,7.7,2.8,6.7,2,Iris-virginica
77,6.7,2.5,5.8,1.8,Iris-virginica
78,6.5,3.2,5.1,2,Iris-virginica
79,6.4,3.1,5.5,1.8,Iris-virginica
80,5.7,4.4,1.5,0.4,Iris-setosa
81,5,3.4,1.5,0.2,Iris-setosa
82,4.8,3.1,1.6,0.2,Iris-setosa
83,5.8,2.7,5.1,1.9,Iris-virginica
84,5.2,2.7,3.9,1.4,Iris-versicolor
85,4.5,2.3,1.3,0.3,Iris-setosa
86,5.6,2.9,3.6,1.3,Iris-versicolor
87,5.7,2.9,4.2,1.3,Iris-versicolor
88,6,2.7,5.1,1.6,Iris-versicolor
89,5,2,3.5,1,Iris-versicolor
90,5.7,2.5,5,2,Iris-virginica
91,5.4,3.9,1.7,0.4,Iris-setosa
92,4.9,2.4,3.3,1,Iris-versicolor
93,7.2,3,5.8,1.6,Iris-virginica
94,5.7,2.6,3.5,1,Iris-versicolor
95,5.5,4.2,1.4,0.2,Iris-setosa
96,5.4,3.7,1.5,0.2,Iris-setosa
97,6.1,3,4.9,1.8,Iris-virginica
98,6.3,2.7,4.9,1.8,Iris-virginica
99,6.3,2.9,5.6,1.8,Iris-virginica
100,5.8,2.7,4.1,1,Iris-versicolor
101,5.7,3,4.2,1.2,Iris-versicolor
102,6.3,3.4,5.6,2.4,Iris-virginica
103,7.1,3,5.9,2.1,Iris-virginica
104,5,3.6,1.4,0.2,Iris-setosa
105,6.7,3.1,5.6,2.4,Iris-virginica
106,4.9,2.5,4.5,1.7,Iris-virginica
107,5.2,3.5,1.5,0.2,Iris-setosa
108,6.3,2.3,4.4,1.3,Iris-versicolor
109,6,2.2,4,1,Iris-versicolor
110,4.6,3.6,1,0.2,Iris-setosa
111,5.3,3.7,1.5,0.2,Iris-setosa
112,5.5,2.3,4,1.3,Iris-versicolor
113,5.1,3.8,1.9,0.4,Iris-setosa
114,5.8,2.7,3.9,1.2,Iris-versicolor
115,4.7,3.2,1.6,0.2,Iris-setosa
116,6.7,3.3,5.7,2.1,Iris-virginica
117,6.1,2.6,5.6,1.4,Iris-virginica
118,5.6,3,4.5,1.5,Iris-versicolor
119,6.3,2.5,4.9,1.5,Iris-versicolor
120,5.6,3,4.1,1.3,Iris-versicolor
121,5,3.5,1.3,0.3,Iris-setosa
122,4.8,3.4,1.6,0.2,Iris-setosa
123,6.5,3,5.2,2,Iris-virginica
124,5.5,2.4,3.7,1,Iris-versicolor
125,5.2,4.1,1.5,0.1,Iris-setosa
126,5.7,2.8,4.1,1.3,Iris-versicolor
127,6.7,3.1,4.7,1.5,Iris-versicolor
128,5.1,2.5,3,1.1,Iris-versicolor
129,5.8,2.7,5.1,1.9,Iris-virginica
130,5,3.2,1.2,0.2,Iris-setosa
131,6.1,2.8,4,1.3,Iris-versicolor
132,7.3,2.9,6.3,1.8,Iris-virginica
133,6.4,2.8,5.6,2.1,Iris-virginica
134,6.2,2.8,4.8,1.8,Iris-virginica
135,5.5,2.4,3.8,1.1,Iris-versicolor
136,6.9,3.1,5.1,2.3,Iris-virginica
137,4.6,3.1,1.5,0.2,Iris-setosa
138,5.9,3,4.2,1.5,Iris-versicolor
139,5.9,3,5.1,1.8,Iris-virginica
140,6.8,3,5.5,2.1,Iris-virginica
141,5.4,3.4,1.7,0.2,Iris-setosa
142,4.4,3.2,1.3,0.2,Iris-setosa
143,7.7,3.8,6.7,2.2,Iris-virginica
144,6.5,3,5.5,1.8,Iris-virginica
145,6.3,3.3,4.7,1.6,Iris-versicolor
146,6.8,3.2,5.9,2.3,Iris-virginica
147,5,3.5,1.6,0.6,Iris-setosa
148,6.7,3.1,4.4,1.4,Iris-versicolor
149,5.6,2.8,4.9,2,Iris-virginica
150,6.2,2.9,4.3,1.3,Iris-versicolor
